cid,cmpdname,CanonicalSMILES,activity
4269692,"4-[15-methyl-9-(4-methylanilino)-13-phenyl-1,8,11,13,14-pentazatetracyclo[8.7.0.02,7.012,16]heptadeca-2,4,6,8,10,12(16),14-heptaen-17-yl]benzene-1,2-diol",CC1=CC=C(C=C1)NC2=NC3=CC=CC=C3N4C2=NC5=C(C4C6=CC(=C(C=C6)O)O)C(=NN5C7=CC=CC=C7)C,Active
4325987,"4-(9-anilino-15-methyl-13-phenyl-1,8,11,13,14-pentazatetracyclo[8.7.0.02,7.012,16]heptadeca-2,4,6,8,10,12(16),14-heptaen-17-yl)benzene-1,2-diol",CC1=NN(C2=C1C(N3C4=CC=CC=C4N=C(C3=N2)NC5=CC=CC=C5)C6=CC(=C(C=C6)O)O)C7=CC=CC=C7,Active
2031089,"1-pentyl-3-phenylpyrazolo[4,3-b]quinoxaline",CCCCCN1C2=NC3=CC=CC=C3N=C2C(=N1)C4=CC=CC=C4,Active
1262928,"14-methyl-16-(2-phenylethylamino)-14-azatetracyclo[7.7.1.02,7.013,17]heptadeca-1(16),2,4,6,9(17),10,12-heptaene-8,15-dione",CN1C2=CC=CC3=C2C(=C(C1=O)NCCC4=CC=CC=C4)C5=CC=CC=C5C3=O,Active
4971561,"3-(1-methylbenzimidazol-2-yl)-1-(3-phenylpropyl)pyrrolo[3,2-b]quinoxalin-2-amine",CN1C2=CC=CC=C2N=C1C3=C(N(C4=NC5=CC=CC=C5N=C34)CCCC6=CC=CC=C6)N,Active
4889526,"1-(3-methoxypropyl)-3-(1-methylbenzimidazol-2-yl)pyrrolo[3,2-b]quinoxalin-2-amine",CN1C2=CC=CC=C2N=C1C3=C(N(C4=NC5=CC=CC=C5N=C34)CCCOC)N,Active
4897494,"3-(1-methylbenzimidazol-2-yl)-1-(2-phenylethyl)pyrrolo[3,2-b]quinoxalin-2-amine",CN1C2=CC=CC=C2N=C1C3=C(N(C4=NC5=CC=CC=C5N=C34)CCC6=CC=CC=C6)N,Active
6236941,(E)-3-[1-[(4-methylpiperazin-1-yl)methyl]indol-3-yl]-1-phenylprop-2-en-1-one,CN1CCN(CC1)CN2C=C(C3=CC=CC=C32)C=CC(=O)C4=CC=CC=C4,Active
3745344,"N-[7-(4-methoxyphenyl)-5-phenyl-4,7-dihydro-[1,2,4]triazolo[1,5-a]pyrimidin-2-yl]acetamide",CC(=O)NC1=NN2C(C=C(NC2=N1)C3=CC=CC=C3)C4=CC=C(C=C4)OC,Active
399112,"2-(5-amino-1,3,4-thiadiazol-2-yl)benzo[f]chromen-3-one",C1=CC=C2C(=C1)C=CC3=C2C=C(C(=O)O3)C4=NN=C(S4)N,Active
1001295,"(2Z)-2-[[4-(diethylamino)-2-hydroxyphenyl]methylidene]-[1,3]thiazolo[3,2-a]benzimidazol-1-one",CCN(CC)C1=CC(=C(C=C1)C=C2C(=O)N3C4=CC=CC=C4N=C3S2)O,Active
1893291,4-amino-5-(5-bromothiophene-2-carbonyl)-2-(prop-2-enylamino)thiophene-3-carbonitrile,C=CCNC1=C(C(=C(S1)C(=O)C2=CC=C(S2)Br)N)C#N,Active
2957085,"6-nitro-2-(1,3-thiazol-2-yl)benzo[de]isoquinoline-1,3-dione",C1=CC2=C(C=CC3=C2C(=C1)C(=O)N(C3=O)C4=NC=CS4)[N+](=O)[O-],Active
5999709,"2-[(7E)-7-benzylidene-3-phenyl-3a,4,5,6-tetrahydro-3H-indazol-2-yl]-N,4-dimethyl-1,3-thiazole-5-carboxamide",CC1=C(SC(=N1)N2C(C3CCCC(=CC4=CC=CC=C4)C3=N2)C5=CC=CC=C5)C(=O)NC,Active
6260437,"2-[(7E)-3-(4-fluorophenyl)-7-[(4-fluorophenyl)methylidene]-3a,4,5,6-tetrahydro-3H-indazol-2-yl]-N,N,4-trimethyl-1,3-thiazole-5-carboxamide",CC1=C(SC(=N1)N2C(C3CCCC(=CC4=CC=C(C=C4)F)C3=N2)C5=CC=C(C=C5)F)C(=O)N(C)C,Active
4835204,N-(3-cyanophenyl)-2-(7-oxobenzo[a]phenalen-3-yl)sulfanylacetamide,C1=CC=C2C(=C1)C3=C4C(=C(C=C3)SCC(=O)NC5=CC=CC(=C5)C#N)C=CC=C4C2=O,Active
135490259,1-[(E)-[[4-(1H-imidazol-2-yl)phthalazin-1-yl]hydrazinylidene]methyl]naphthalen-2-ol,C1=CC=C2C(=C1)C=CC(=C2C=NNC3=NN=C(C4=CC=CC=C43)C5=NC=CN5)O,Active
6876748,2-(3-chloro-4-methoxy-N-(4-methylphenyl)sulfonylanilino)-N-[(E)-[5-(4-nitrophenyl)furan-2-yl]methylideneamino]acetamide,CC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)NN=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC(=C(C=C4)OC)Cl,Active
135490270,N-(2-methoxyphenyl)-2-[(2E)-2-[(2-methyl-1H-indol-3-yl)methylidene]hydrazinyl]-5-nitrobenzenesulfonamide,CC1=C(C2=CC=CC=C2N1)C=NNC3=C(C=C(C=C3)[N+](=O)[O-])S(=O)(=O)NC4=CC=CC=C4OC,Active
6103405,"2-benzyl-6-hydroxybenzo[de]isoquinoline-1,3-dione",C1=CC=C(C=C1)CN2C(=O)C3=C4C(=C(C=C3)O)C=CC=C4C2=O,Active
135490285,N-(4-chlorophenyl)-2-[(2E)-2-(1H-indol-3-ylmethylidene)hydrazinyl]-5-nitrobenzenesulfonamide,C1=CC=C2C(=C1)C(=CN2)C=NNC3=C(C=C(C=C3)[N+](=O)[O-])S(=O)(=O)NC4=CC=C(C=C4)Cl,Active
135490286,2-[(2E)-2-(1H-indol-3-ylmethylidene)hydrazinyl]-N-(2-methoxyphenyl)-5-nitrobenzenesulfonamide,COC1=CC=CC=C1NS(=O)(=O)C2=C(C=CC(=C2)[N+](=O)[O-])NN=CC3=CNC4=CC=CC=C43,Active
1004092,"[3-amino-6-(4-methoxyphenyl)thieno[2,3-b]pyridin-2-yl]-(3-methoxyphenyl)methanone",COC1=CC=C(C=C1)C2=NC3=C(C=C2)C(=C(S3)C(=O)C4=CC(=CC=C4)OC)N,Active
1004085,"[3-amino-6-(4-methoxyphenyl)thieno[2,3-b]pyridin-2-yl]-(3,4-dimethoxyphenyl)methanone",COC1=CC=C(C=C1)C2=NC3=C(C=C2)C(=C(S3)C(=O)C4=CC(=C(C=C4)OC)OC)N,Active
11839287,"(5Z)-5-[(2,5-dimethoxy-4-pyrrolidin-1-ylphenyl)methylidene]-3-(2-methoxyethyl)-2-phenylimino-1,3-thiazolidin-4-one",COCCN1C(=O)C(=CC2=CC(=C(C=C2OC)N3CCCC3)OC)SC1=NC4=CC=CC=C4,Active
9606709,N-[(E)-[2-[(3-methylphenyl)methoxy]phenyl]methylideneamino]-4-nitroaniline,CC1=CC(=CC=C1)COC2=CC=CC=C2C=NNC3=CC=C(C=C3)[N+](=O)[O-],Active
1036385,"(3-amino-6-phenylthieno[2,3-b]pyridin-2-yl)-(3,4-dimethoxyphenyl)methanone",COC1=C(C=C(C=C1)C(=O)C2=C(C3=C(S2)N=C(C=C3)C4=CC=CC=C4)N)OC,Active
5285231,"(7E)-2-amino-4-(4-methylphenyl)-7-[(4-methylphenyl)methylidene]-5,6-dihydro-4H-cyclopenta[b]pyran-3-carbonitrile",CC1=CC=C(C=C1)C=C2CCC3=C2OC(=C(C3C4=CC=C(C=C4)C)C#N)N,Active
6406850,"6-(5-ethylsulfanyl-1,3,4-oxadiazol-2-yl)-3,4-diphenylthieno[2,3-c]pyridazin-5-amine",CCSC1=NN=C(O1)C2=C(C3=C(C(=NN=C3S2)C4=CC=CC=C4)C5=CC=CC=C5)N,Active
5400800,(5Z)-5-[(3-methyl-4-pyrrolidin-1-ylphenyl)methylidene]-3-propyl-2-sulfanylideneimidazolidin-4-one,CCCN1C(=O)C(=CC2=CC(=C(C=C2)N3CCCC3)C)NC1=S,Active
2254616,"3-(6-nitro-1,3-dioxobenzo[de]isoquinolin-2-yl)-N-(1,3-thiazol-2-yl)benzamide",C1=CC(=CC(=C1)N2C(=O)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O)C(=O)NC5=NC=CS5,Active
1928929,"3-amino-N-(1,3-benzothiazol-2-yl)-6-thiophen-2-ylthieno[2,3-b]pyridine-2-carboxamide",C1=CC=C2C(=C1)N=C(S2)NC(=O)C3=C(C4=C(S3)N=C(C=C4)C5=CC=CS5)N,Active
704848,"2-(4-methylpyridin-2-yl)-6-nitrobenzo[de]isoquinoline-1,3-dione",CC1=CC(=NC=C1)N2C(=O)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O,Active
5933290,5-nitro-N-[(Z)-(1-phenylpyrrol-2-yl)methylideneamino]pyridin-2-amine,C1=CC=C(C=C1)N2C=CC=C2C=NNC3=NC=C(C=C3)[N+](=O)[O-],Active
1218173,"6-nitro-2-pyridin-2-ylbenzo[de]isoquinoline-1,3-dione",C1=CC=NC(=C1)N2C(=O)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O,Active
5857072,N-[(Z)-1-(4-ethylphenyl)ethylideneamino]-4-nitroaniline,CCC1=CC=C(C=C1)C(=NNC2=CC=C(C=C2)[N+](=O)[O-])C,Active
1005239,"3-amino-4-(4-chlorophenyl)-6-thiophen-2-ylthieno[2,3-b]pyridine-2-carbonitrile",C1=CSC(=C1)C2=NC3=C(C(=C2)C4=CC=C(C=C4)Cl)C(=C(S3)C#N)N,Active
5750556,"N-[(E)-(1,3-diphenylpyrazol-4-yl)methylideneamino]-4-nitroaniline",C1=CC=C(C=C1)C2=NN(C=C2C=NNC3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4,Active
6873208,2-(N-(4-ethoxyphenyl)sulfonylanilino)-N-[(E)-[5-(4-nitrophenyl)furan-2-yl]methylideneamino]acetamide,CCOC1=CC=C(C=C1)S(=O)(=O)N(CC(=O)NN=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4,Active
1482534,"(2-anilino-1,3-thiazol-5-yl)-(4-chlorophenyl)methanone",C1=CC=C(C=C1)NC2=NC=C(S2)C(=O)C3=CC=C(C=C3)Cl,Active
